name,school,total,career,wins,loss,n,share,sec
1. Nick Saban,Alabama,5545852,167,8,0,8,0,1
2. Mack Brown,Texas,5453750,242,6,2,8,0.25,0
3. Bret Bielema,Arkansas,5158863,71,3,6,9,0.666666667,1
4. Butch Jones,Tennessee,4860000,54,4,5,9,0.555555556,1
5. Bob Stoops,Oklahoma,4773167,156,7,1,8,0.125,0
6. Urban Meyer,Ohio State,4608000,125,9,0,9,0,0
7. Les Miles,LSU,4459363,120,7,2,9,0.222222222,1
8. Brady Hoke,Michigan,4154000,72,6,2,8,0.25,0
9. Kirk Ferentz,Iowa,3985000,117,5,4,9,0.444444444,0
10. Charlie Strong,Louisville,3738500,32,7,1,8,0.125,0
