stark,star1,star2,star3,totexpk,treadssk,tmathssk,totexp1,treadss1,tmathss1,totexp2,treadss2,tmathss2,treadss3,tmathss3,totexp3,schidkn,schid1n,schid2n,schid3n,tscorek,tscore1,tscore2,tscore3,sck,sc1,sc2,sc3,rak,ra1,ra2,ra3,white,black,other,boy,freelunk,freelun1,freelun2,freelun3
no,no,no,yes,,,,,,,,,,580,564,30,,,,54,,,,1144,,,,0,,,,0,0,1,0,0,,,,1
yes,yes,yes,yes,7,447,473,7,507,538,3,568,579,587,593,1,63,63,63,63,920,1045,1147,1180,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1
yes,yes,yes,yes,21,450,536,32,579,592,4,588,579,644,639,4,20,20,20,20,986,1171,1167,1283,1,1,0,0,0,0,1,1,0,1,0,0,0,,0,0
no,no,no,yes,,,,,,,,,,686,667,10,,,,8,,,,1353,,,,1,,,,0,1,0,0,1,,,,0
yes,no,no,no,first year teacher,439,463,,,,,,,,,,19,,,,902,,,,0,,,,1,,,,0,1,0,1,1,,,
no,no,yes,yes,,,,,,,13,,,644,648,15,,,8,8,,,,1292,,,0,0,,,0,0,1,0,0,1,,,0,0
no,no,no,yes,,,,,,,,,,,,17,,,,31,,,,,,,,0,,,,1,0,1,0,1,,,,1
no,yes,yes,yes,,,,8,475,512,13,573,550,599,583,23,,5,5,5,,987,1123,1182,,0,0,0,,1,1,1,1,0,0,0,,0,0,0
no,yes,yes,yes,,,,13,,,6,,,,,8,,77,77,77,,,,,,0,0,0,,0,0,0,1,0,0,1,,0,0,0
no,yes,yes,yes,,,,7,651,532,8,596,590,626,618,8,,50,50,50,,1183,1186,1244,,0,0,0,,0,0,0,1,0,0,1,,0,0,0
yes,yes,yes,yes,16,448,559,11,651,584,31,614,639,641,684,7,69,69,69,69,1007,1235,1253,1325,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
yes,yes,yes,yes,5,447,489,15,533,545,14,608,603,665,648,14,79,79,79,79,936,1078,1211,1313,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,1
yes,yes,yes,yes,8,431,454,first year teacher,558,553,9,608,579,597,589,8,5,5,5,5,885,1111,1187,1186,0,0,0,0,0,0,0,0,1,0,0,1,1,,1,1
yes,yes,no,no,17,395,423,5,454,490,,,,,,,16,16,,,818,944,,,0,0,,,1,0,,,0,1,0,0,1,1,,
no,no,yes,yes,,,,,,,4,586,603,606,631,19,,,41,41,,,1189,1237,,,0,0,,,0,0,1,0,0,0,,,0,0
